id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-38646,low,The oddjobd service must not be running.,"The ""oddjobd"" service may provide necessary functionality in some environments but it can be disabled if it is not needed. Execution of tasks by privileged programs, on behalf of unprivileged ones, has traditionally been a source of privilege escalation security issues.",None,SV-50447r2_rule,F-43595r2_fix,"The ""oddjobd"" service exists to provide an interface and access control mechanism through which specified privileged tasks can run tasks for unprivileged client applications. Communication with ""oddjobd"" is through the system message bus. The ""oddjobd"" service can be disabled with the following commands: 

# chkconfig oddjobd off
# service oddjobd stop",C-46206r2_chk,"To check that the ""oddjobd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""oddjobd"" --list

Output should indicate the ""oddjobd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""oddjobd"" --list
""oddjobd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""oddjobd"" is disabled through current runtime configuration: 

# service oddjobd status

If the service is disabled the command will return the following output: 

oddjobd is stopped


If the service is running, this is a finding."
V-38645,low,The system default umask in /etc/login.defs must be 077.,The umask value influences the permissions assigned to files when they are created. A misconfigured umask value could result in files with excessive permissions that can be read and/or written to by unauthorized users.,None,SV-50446r1_rule,F-43594r1_fix,"To ensure the default umask controlled by ""/etc/login.defs"" is set properly, add or correct the ""umask"" setting in ""/etc/login.defs"" to read as follows: 

UMASK 077",C-46205r1_chk,"Verify the ""umask"" setting is configured correctly in the ""/etc/login.defs"" file by running the following command: 

# grep -i ""umask"" /etc/login.defs

All output must show the value of ""umask"" set to 077, as shown in the below: 

# grep -i ""umask"" /etc/login.defs
UMASK 077


If the above command returns no output, or if the umask is configured incorrectly, this is a finding."
V-38644,low,The ntpdate service must not be running.,"The ""ntpdate"" service may only be suitable for systems which are rebooted frequently enough that clock drift does not cause problems between reboots. In any event, the functionality of the ntpdate service is now available in the ntpd program and should be considered deprecated.",None,SV-50445r2_rule,F-43593r2_fix,"The ntpdate service sets the local hardware clock by polling NTP servers when the system boots. It synchronizes to the NTP servers listed in ""/etc/ntp/step-tickers"" or ""/etc/ntp.conf"" and then sets the local hardware clock to the newly synchronized system time. The ""ntpdate"" service can be disabled with the following commands: 

# chkconfig ntpdate off
# service ntpdate stop",C-46204r1_chk,"To check that the ""ntpdate"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""ntpdate"" --list

Output should indicate the ""ntpdate"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""ntpdate"" --list
""ntpdate"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""ntpdate"" is disabled through current runtime configuration: 

# service ntpdate status

If the service is disabled the command will return the following output: 

ntpdate is stopped


If the service is running, this is a finding."
V-51369,low,The system must use a Linux Security Module configured to limit the privileges of system services.,"Setting the SELinux policy to ""targeted"" or a more specialized policy ensures the system will confine processes that are likely to be targeted for exploitation, such as network or system services. ",None,SV-65579r1_rule,F-56171r1_fix,"The SELinux ""targeted"" policy is appropriate for general-purpose desktops and servers, as well as systems in many other roles. To configure the system to use this policy, add or correct the following line in ""/etc/selinux/config"":

SELINUXTYPE=targeted

Other policies, such as ""mls"", provide additional security labeling and greater confinement but are not compatible with many general-purpose use cases. ",C-53711r1_chk,"Check the file ""/etc/selinux/config"" and ensure the following line appears:

SELINUXTYPE=targeted

If it does not, this is a finding. "
V-38452,low,The system package management tool must verify permissions on all files and directories associated with packages.,Permissions on system binaries and configuration files that are too generous could allow an unauthorized user to gain privileges that they should not have. The permissions set by the vendor should be maintained. Any deviations from this baseline should be investigated.,None,SV-50252r1_rule,F-43398r1_fix,"The RPM package management system can restore file access permissions of package files and directories. The following command will update permissions on files and directories with permissions different from what is expected by the RPM database: 

# rpm --setperms [package]",C-46008r1_chk,"The following command will list which files and directories on the system have permissions different from what is expected by the RPM database: 

# rpm -Va  | grep '^.M'

If there is any output, for each file or directory found, find the associated RPM package and compare the RPM-expected permissions with the actual permissions on the file or directory:

# rpm -qf [file or directory name]
# rpm -q --queryformat ""[%{FILENAMES} %{FILEMODES:perms}\n]"" [package] | grep  [filename]
# ls -lL [filename]

If the existing permissions are more permissive than those expected by RPM, this is a finding."
V-38551,medium,The operating system must connect to external networks or information systems only through managed IPv6 interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.,"The ""ip6tables"" service provides the system's host-based firewalling capability for IPv6 and ICMPv6.",None,SV-50352r3_rule,F-43499r2_fix,"The ""ip6tables"" service can be enabled with the following commands: 

# chkconfig ip6tables on
# service ip6tables start",C-46109r3_chk,"If the system is a cross-domain system, this is not applicable.

If IPV6 is disabled, this is not applicable.

Run the following command to determine the current status of the ""ip6tables"" service: 

# service ip6tables status

If the service is not running, it should return the following: 

ip6tables: Firewall is not running.


If the service is not running, this is a finding."
V-51363,medium,The system must use a Linux Security Module configured to enforce limits on system services.,"Setting the SELinux state to enforcing ensures SELinux is able to confine potentially compromised processes to the security policy, which is designed to prevent them from causing damage to the system or further elevating their privileges. ",None,SV-65573r1_rule,F-56165r1_fix,"The SELinux state should be set to ""enforcing"" at system boot time. In the file ""/etc/selinux/config"", add or correct the following line to configure the system to boot into enforcing mode:

SELINUX=enforcing",C-53703r1_chk,"Check the file ""/etc/selinux/config"" and ensure the following line appears:

SELINUX=enforcing

If SELINUX is not set to enforcing, this is a finding. "
V-38453,low,The system package management tool must verify group-ownership on all files and directories associated with packages.,Group-ownership of system binaries and configuration files that is incorrect could allow an unauthorized user to gain privileges that they should not have. The group-ownership set by the vendor should be maintained. Any deviations from this baseline should be investigated.,None,SV-50253r1_rule,F-43399r1_fix,"The RPM package management system can restore group-ownership of the package files and directories. The following command will update files and directories with group-ownership different from what is expected by the RPM database: 

# rpm -qf [file or directory name]
# rpm --setugids [package]",C-46009r1_chk,"The following command will list which files on the system have group-ownership different from what is expected by the RPM database: 

# rpm -Va | grep '^......G'


If there is output, this is a finding."
V-38608,low,The SSH daemon must set a timeout interval on idle sessions.,Causing idle users to be automatically logged out guards against compromises one system leading trivially to compromises on another.,None,SV-50409r1_rule,F-43556r1_fix,"SSH allows administrators to set an idle timeout interval. After this interval has passed, the idle user will be automatically logged out. 

To set an idle timeout interval, edit the following line in ""/etc/ssh/sshd_config"" as follows: 

ClientAliveInterval [interval]

The timeout [interval] is given in seconds. To have a timeout of 15 minutes, set [interval] to 900. 

If a shorter timeout has already been set for the login shell, that value will preempt any SSH setting made here. Keep in mind that some processes may stop SSH from correctly detecting that the user is idle.",C-46167r1_chk,"Run the following command to see what the timeout interval is: 

# grep ClientAliveInterval /etc/ssh/sshd_config

If properly configured, the output should be: 

ClientAliveInterval 900


If it is not, this is a finding."
V-38499,medium,The /etc/passwd file must not contain password hashes.,"The hashes for all user account passwords should be stored in the file ""/etc/shadow"" and never in ""/etc/passwd"", which is readable by all users.",None,SV-50300r1_rule,F-43446r1_fix,"If any password hashes are stored in ""/etc/passwd"" (in the second field, instead of an ""x""), the cause of this misconfiguration should be investigated. The account should have its password reset and the hash should be properly stored, or the account should be deleted entirely.",C-46056r1_chk,"To check that no password hashes are stored in ""/etc/passwd"", run the following command: 

# awk -F: '($2 != ""x"") {print}' /etc/passwd

If it produces any output, then a password hash is stored in ""/etc/passwd"". 
If any stored hashes are found in /etc/passwd, this is a finding."
V-38450,medium,The /etc/passwd file must be owned by root.,"The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.",None,SV-50250r1_rule,F-43395r1_fix,"To properly set the owner of ""/etc/passwd"", run the command: 

# chown root /etc/passwd",C-46005r1_chk,"To check the ownership of ""/etc/passwd"", run the command: 

$ ls -l /etc/passwd

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding."
V-38581,medium,The system boot loader configuration file(s) must be group-owned by root.,"The ""root"" group is a highly-privileged group. Furthermore, the group-owner of this file should not have any access privileges anyway.",None,SV-50382r1_rule,F-43529r1_fix,"The file ""/etc/grub.conf"" should be group-owned by the ""root"" group to prevent destruction or modification of the file. To properly set the group owner of ""/etc/grub.conf"", run the command: 

# chgrp root /etc/grub.conf",C-46139r1_chk,"To check the group ownership of ""/etc/grub.conf"", run the command: 

$ ls -lL /etc/grub.conf

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding."
V-38451,medium,The /etc/passwd file must be group-owned by root.,"The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.",None,SV-50251r1_rule,F-43396r1_fix,"To properly set the group owner of ""/etc/passwd"", run the command: 

# chgrp root /etc/passwd",C-46006r1_chk,"To check the group ownership of ""/etc/passwd"", run the command: 

$ ls -l /etc/passwd

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding."
V-38458,medium,The /etc/group file must be owned by root.,"The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.",None,SV-50258r1_rule,F-43403r1_fix,"To properly set the owner of ""/etc/group"", run the command: 

# chown root /etc/group",C-46013r1_chk,"To check the ownership of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding."
V-38447,low,The system package management tool must verify contents of all files associated with packages.,The hash on important files like system executables should match the information given by the RPM database. Executables with erroneous hashes could be a sign of nefarious activity on the system.,None,SV-50247r2_rule,F-43392r1_fix,"The RPM package management system can check the hashes of installed software packages, including many that are important to system security. Run the following command to list which files on the system have hashes that differ from what is expected by the RPM database: 

# rpm -Va | grep '^..5'

A ""c"" in the second column indicates that a file is a configuration file, which may appropriately be expected to change. If the file that has changed was not expected to then refresh from distribution media or online repositories. 

rpm -Uvh [affected_package]

OR 

yum reinstall [affected_package]",C-46002r3_chk,"The following command will list which files on the system have file hashes different from what is expected by the RPM database. 

# rpm -Va | awk '$1 ~ /..5/ && $2 != ""c""'


If there is output, this is a finding."
V-38658,medium,The system must prohibit the reuse of passwords within twenty-four iterations.,Preventing reuse of previous passwords helps ensure that a compromised password is not reused by a user.,None,SV-50459r1_rule,F-43608r1_fix,"Do not allow users to reuse recent passwords. This can be accomplished by using the ""remember"" option for the ""pam_unix"" PAM module. In the file ""/etc/pam.d/system-auth"", append ""remember=24"" to the line which refers to the ""pam_unix.so"" module, as shown: 

password sufficient pam_unix.so [existing_options] remember=24

The DoD requirement is 24 passwords.",C-46219r1_chk,"To verify the password reuse setting is compliant, run the following command: 

$ grep remember /etc/pam.d/system-auth

The output should show the following at the end of the line: 

remember=24


If it does not, this is a finding."
V-38659,low,The operating system must employ cryptographic mechanisms to protect information in storage.,"The risk of a system's physical compromise, particularly mobile systems such as laptops, places its data at risk of compromise. Encrypting this data mitigates the risk of its loss if the system is lost.",None,SV-50460r1_rule,F-43609r1_fix,"Red Hat Enterprise Linux 6 natively supports partition encryption through the Linux Unified Key Setup-on-disk-format (LUKS) technology. The easiest way to encrypt a partition is during installation time. 

For manual installations, select the ""Encrypt"" checkbox during partition creation to encrypt the partition. When this option is selected the system will prompt for a passphrase to use in decrypting the partition. The passphrase will subsequently need to be entered manually every time the system boots. 

For automated/unattended installations, it is possible to use Kickstart by adding the ""--encrypted"" and ""--passphrase="" options to the definition of each partition to be encrypted. For example, the following line would encrypt the root partition: 

part / --fstype=ext3 --size=100 --onpart=hda1 --encrypted --passphrase=[PASSPHRASE]

Any [PASSPHRASE] is stored in the Kickstart in plaintext, and the Kickstart must then be protected accordingly. Omitting the ""--passphrase="" option from the partition definition will cause the installer to pause and interactively ask for the passphrase during installation. 

Detailed information on encrypting partitions using LUKS can be found on the Red Had Documentation web site:
https://docs.redhat.com/docs/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/sect-Security_Guide-LUKS_Disk_Encryption.html",C-46220r1_chk,"Determine if encryption must be used to protect data on the system. 
If encryption must be used and is not employed, this is a finding."
V-38582,medium,The xinetd service must be disabled if no network services utilizing it are enabled.,"The xinetd service provides a dedicated listener service for some programs, which is no longer necessary for commonly-used network services. Disabling it ensures that these uncommon services are not running, and also prevents attacks against xinetd itself.",None,SV-50383r2_rule,F-43530r2_fix,"The ""xinetd"" service can be disabled with the following commands: 

# chkconfig xinetd off
# service xinetd stop",C-46140r2_chk,"If network services are using the xinetd service, this is not applicable.

To check that the ""xinetd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""xinetd"" --list

Output should indicate the ""xinetd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""xinetd"" --list
""xinetd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""xinetd"" is disabled through current runtime configuration: 

# service xinetd status

If the service is disabled the command will return the following output: 

xinetd is stopped


If the service is running, this is a finding."
V-38650,low,The rdisc service must not be running.,General-purpose systems typically have their network and routing information configured statically by a system administrator. Workstations or some special-purpose systems often use DHCP (instead of IRDP) to retrieve dynamic network configuration information.,None,SV-50451r2_rule,F-43599r2_fix,"The ""rdisc"" service implements the client side of the ICMP Internet Router Discovery Protocol (IRDP), which allows discovery of routers on the local subnet. If a router is discovered then the local routing table is updated with a corresponding default route. By default this daemon is disabled. The ""rdisc"" service can be disabled with the following commands: 

# chkconfig rdisc off
# service rdisc stop",C-46210r1_chk,"To check that the ""rdisc"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""rdisc"" --list

Output should indicate the ""rdisc"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""rdisc"" --list
""rdisc"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""rdisc"" is disabled through current runtime configuration: 

# service rdisc status

If the service is disabled the command will return the following output: 

rdisc is stopped


If the service is running, this is a finding."
V-38651,low,The system default umask for the bash shell must be 077.,The umask value influences the permissions assigned to files when they are created. A misconfigured umask value could result in files with excessive permissions that can be read and/or written to by unauthorized users.,None,SV-50452r1_rule,F-43600r1_fix,"To ensure the default umask for users of the Bash shell is set properly, add or correct the ""umask"" setting in ""/etc/bashrc"" to read as follows: 

umask 077",C-46211r1_chk,"Verify the ""umask"" setting is configured correctly in the ""/etc/bashrc"" file by running the following command: 

# grep ""umask"" /etc/bashrc

All output must show the value of ""umask"" set to 077, as shown below: 

# grep ""umask"" /etc/bashrc
umask 077
umask 077


If the above command returns no output, or if the umask is configured incorrectly, this is a finding."
V-38652,medium,Remote file systems must be mounted with the nodev option.,Legitimate device files should only exist in the /dev directory. NFS mounts should not present device files to users.,None,SV-50453r2_rule,F-43601r1_fix,"Add the ""nodev"" option to the fourth column of ""/etc/fstab"" for the line which controls mounting of any NFS mounts.",C-46212r2_chk,"To verify the ""nodev"" option is configured for all NFS mounts, run the following command: 

$ mount | grep ""nfs ""

All NFS mounts should show the ""nodev"" setting in parentheses, along with other mount options. 
If the setting does not show, this is a finding."
V-38653,high,The snmpd service must not use a default password.,Presence of the default SNMP password enables querying of different system aspects and could result in unauthorized knowledge of the system.,None,SV-50454r1_rule,F-43602r1_fix,"Edit ""/etc/snmp/snmpd.conf"", remove default community string ""public"". Upon doing that, restart the SNMP service: 

# service snmpd restart",C-46213r1_chk,"To ensure the default password is not set, run the following command: 

# grep -v ""^#"" /etc/snmp/snmpd.conf| grep public

There should be no output. 
If there is output, this is a finding."
V-38654,medium,Remote file systems must be mounted with the nosuid option.,NFS mounts should not present suid binaries to users. Only vendor-supplied suid executables should be installed to their default location on the local filesystem.,None,SV-50455r2_rule,F-43603r1_fix,"Add the ""nosuid"" option to the fourth column of ""/etc/fstab"" for the line which controls mounting of any NFS mounts.",C-46214r3_chk,"To verify the ""nosuid"" option is configured for all NFS mounts, run the following command: 

$ mount | grep nfs

All NFS mounts should show the ""nosuid"" setting in parentheses, along with other mount options. 
If the setting does not show, this is a finding."
V-38490,medium,The operating system must enforce requirements for the connection of mobile devices to operating systems.,USB storage devices such as thumb drives can be used to introduce unauthorized software and other vulnerabilities. Support for these devices should be disabled and the devices themselves should be tightly controlled.,None,SV-50291r4_rule,F-43437r3_fix,"To prevent USB storage devices from being used, configure the kernel module loading system to prevent automatic loading of the USB storage driver. To configure the system to prevent the ""usb-storage"" kernel module from being loaded, add the following line to a file in the directory ""/etc/modprobe.d"": 

install usb-storage /bin/true

This will prevent the ""modprobe"" program from loading the ""usb-storage"" module, but will not prevent an administrator (or another program) from using the ""insmod"" program to load the module manually.",C-46047r3_chk,"If the system is configured to prevent the loading of the ""usb-storage"" kernel module, it will contain lines inside any file in ""/etc/modprobe.d"" or the deprecated""/etc/modprobe.conf"". These lines instruct the module loading system to run another program (such as ""/bin/true"") upon a module ""install"" event. Run the following command to search for such lines in all files in ""/etc/modprobe.d"" and the deprecated ""/etc/modprobe.conf"": 

$ grep -r usb-storage /etc/modprobe.conf /etc/modprobe.d

If no line is returned, this is a finding."
V-38656,low,The system must use SMB client signing for connecting to samba servers using smbclient.,Packet signing can prevent man-in-the-middle attacks which modify SMB packets in transit.,None,SV-50457r1_rule,F-43606r1_fix,"To require samba clients running ""smbclient"" to use packet signing, add the following to the ""[global]"" section of the Samba configuration file in ""/etc/samba/smb.conf"": 

client signing = mandatory

Requiring samba clients such as ""smbclient"" to use packet signing ensures they can only communicate with servers that support packet signing.",C-46217r1_chk,"To verify that Samba clients running smbclient must use packet signing, run the following command: 

# grep signing /etc/samba/smb.conf

The output should show: 

client signing = mandatory


If it is not, this is a finding."
V-38657,low,The system must use SMB client signing for connecting to samba servers using mount.cifs.,Packet signing can prevent man-in-the-middle attacks which modify SMB packets in transit.,None,SV-50458r2_rule,F-43607r1_fix,"Require packet signing of clients who mount Samba shares using the ""mount.cifs"" program (e.g., those who specify shares in ""/etc/fstab""). To do so, ensure signing options (either ""sec=krb5i"" or ""sec=ntlmv2i"") are used. 

See the ""mount.cifs(8)"" man page for more information. A Samba client should only communicate with servers who can support SMB packet signing.",C-46218r4_chk,"If Samba is not in use, this is not applicable.

To verify that Samba clients using mount.cifs must use packet signing, run the following command: 

# grep sec /etc/fstab /etc/mtab

The output should show either ""krb5i"" or ""ntlmv2i"" in use. 
If it does not, this is a finding."
V-38437,low,Automated file system mounting tools must not be enabled unless needed.,"All filesystems that are required for the successful operation of the system should be explicitly listed in ""/etc/fstab"" by an administrator. New filesystems should not be arbitrarily introduced via the automounter.

The ""autofs"" daemon mounts and unmounts filesystems, such as user home directories shared via NFS, on demand. In addition, autofs can be used to handle removable media, and the default configuration provides the cdrom device as ""/misc/cd"". However, this method of providing access to removable media is not common, so autofs can almost always be disabled if NFS is not in use. Even if NFS is required, it is almost always possible to configure filesystem mounts statically by editing ""/etc/fstab"" rather than relying on the automounter. ",None,SV-50237r1_rule,F-43381r1_fix,"If the ""autofs"" service is not needed to dynamically mount NFS filesystems or removable media, disable the service for all runlevels: 

# chkconfig --level 0123456 autofs off

Stop the service if it is already running: 

# service autofs stop",C-45991r1_chk,"To verify the ""autofs"" service is disabled, run the following command: 

chkconfig --list autofs

If properly configured, the output should be the following: 

autofs 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Verify the ""autofs"" service is not running:

# service autofs status

If the autofs service is enabled or running, this is a finding."
V-51379,low,All device files must be monitored by the system Linux Security Module.,"If a device file carries the SELinux type ""unlabeled_t"", then SELinux cannot properly restrict access to the device file. ",None,SV-65589r1_rule,F-56179r1_fix,"Device files, which are used for communication with important system resources, should be labeled with proper SELinux types. If any device files carry the SELinux type ""unlabeled_t"", investigate the cause and correct the file's context. ",C-53719r1_chk,"To check for unlabeled device files, run the following command:

# ls -RZ /dev | grep unlabeled_t

It should produce no output in a well-configured system. 

If there is output, this is a finding. "
